127.0.0.1, 2014-07-21 23:08:36, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000383
127.0.0.1, 2014-07-21 23:08:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000440
127.0.0.1, 2014-07-21 23:10:07, GET, /, HTTP/1.1, 303, 0.002648
127.0.0.1, 2014-07-21 23:10:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.133199
127.0.0.1, 2014-07-21 23:10:18, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 1.710917
127.0.0.1, 2014-07-21 23:10:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2014-07-21 23:10:21, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-10-16.66eb1503-e0b6-4fc4-8762-c5c5b432eca5, HTTP/1.1, 200, 0.132196
127.0.0.1, 2014-07-21 23:10:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2014-07-21 23:11:59, GET, /, HTTP/1.1, 303, 0.003135
127.0.0.1, 2014-07-21 23:11:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.122253
127.0.0.1, 2014-07-21 23:12:08, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 2.687761
127.0.0.1, 2014-07-21 23:12:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2014-07-21 23:12:11, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-12-05.d32e5057-efa8-496c-b84d-64ff7a36b562, HTTP/1.1, 200, 0.161902
127.0.0.1, 2014-07-21 23:12:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2014-07-21 23:13:18, GET, /, HTTP/1.1, 303, 0.002853
127.0.0.1, 2014-07-21 23:13:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.150636
127.0.0.1, 2014-07-21 23:13:22, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 1.801042
127.0.0.1, 2014-07-21 23:13:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2014-07-21 23:13:25, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-13-21.38ef20da-f193-4df5-9035-cf3dfd5292f8, HTTP/1.1, 200, 0.125096
127.0.0.1, 2014-07-21 23:13:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2014-07-21 23:13:59, GET, /, HTTP/1.1, 303, 0.003266
127.0.0.1, 2014-07-21 23:14:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.124898
127.0.0.1, 2014-07-21 23:14:10, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 7.123012
127.0.0.1, 2014-07-21 23:14:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2014-07-21 23:14:13, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-14-03.66a3ae1b-ea30-4ebf-904c-efd506f08628, HTTP/1.1, 200, 0.212744
127.0.0.1, 2014-07-21 23:14:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000453
127.0.0.1, 2014-07-21 23:14:47, GET, /, HTTP/1.1, 303, 0.002879
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.160324
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000529
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000611
